DrivingDistance,FinishedFair,FM
273.6,68.7,1
299.9,60.1,1
279.9,74,1
289.9,66,1
283.6,59.8,1
310.3,52.4,1
291.7,65.6,1
284.2,63.2,1
295,53.5,1
298.6,55.1,1
297.4,60.4,1
299.7,67.7,1
284.4,69.7,1
286.4,72.4,1
285.9,66.9,1
297.6,54.3,1
272.5,62,1
277,66.2,1
287.6,60.9,1
280.4,69.4,1
280,63.7,1
295.4,52.8,1
274.4,68.8,1
286.5,73.1,1
287.7,65.2,1
291.5,65.9,1
279,69.4,1
299,65.2,1
290.1,69.1,1
288.9,67.9,1
288.8,68.2,1
283.2,61,1
293.2,58.4,1
285.3,67.3,1
284.1,65.7,1
281.4,67.7,1
286.1,61.4,1
284.9,62.3,1
284.8,68.1,1
296,62,1
282.9,71.8,1
280.9,67.8,1
291.2,62,1
292.8,62.2,1
291,61.9,1
285.7,62.4,1
283.9,62.9,1
298.4,61.5,1
285.1,65.3,1
286.1,60.1,1
283.1,65.4,1
289.4,58.3,1
284.6,70.7,1
296.6,62.3,1
295.9,64.9,1
295.2,62.8,1
293.9,54.5,1
275,65.5,1
286.8,69.5,1
291.1,64.4,1
284.8,62.5,1
283.7,59.5,1
295.4,66.9,1
291.8,62.7,1
274.9,72.3,1
302.9,61.2,1
272.1,80.4,1
274.9,74.9,1
296.3,59.4,1
286.2,58.8,1
294.2,63.3,1
284.1,66.5,1
299.2,62.4,1
275.4,71,1
273.2,70.9,1
281.6,65.9,1
295.7,55.3,1
287.1,56.8,1
287.7,66.9,1
296.7,53.7,1
282.2,64.2,1
291.7,65.6,1
281.6,73.4,1
311,56.2,1
278.6,64.7,1
288,65.7,1
276.7,72.1,1
292,62,1
286.4,69.9,1
292.7,65.7,1
294.2,62.9,1
278.6,59.6,1
283.1,69.2,1
284.1,66,1
278.6,73.6,1
291.1,60.4,1
294.6,59.4,1
274.3,70.5,1
274,57.1,1
283.8,62.7,1
272.7,66.9,1
303.2,58.3,1
282,70.4,1
281.9,61,1
287,59.9,1
293.5,63.8,1
283.6,56.3,1
296.9,55.3,1
290.9,58.2,1
303,58.1,1
292.8,61.1,1
281.1,65,1
293,61.1,1
284,66.5,1
279.8,66.7,1
292.9,65.4,1
284,66.9,1
282,64.5,1
280.6,64,1
287.7,63.4,1
287.7,63.4,1
298.3,59.5,1
299.6,53.4,1
291.3,62.5,1
295.2,61.4,1
288,62.4,1
297.8,59.5,1
286,62.6,1
285.3,66.2,1
286.9,63.4,1
275.1,73.7,1
